BUGID,FNAME,CHURN,LOC
26866,qtbase/tests/auto/network/ssl/qsslsocket/tst_qsslsocket.cpp,22,1795
26866,qtbase/src/network/ssl/qsslsocket_openssl.cpp,10,858
26866,qtbase/src/network/ssl/qsslsocket_openssl_symbols_p.h,4,137
26866,qtbase/src/network/ssl/qssl.cpp,1,2
26866,qtbase/src/network/ssl/qsslsocket_openssl_symbols.cpp,8,357
7907,qtbase/tests/auto/widgets/widgets/qmenu/tst_qmenu.cpp,51,668
26002,qtbase/tests/auto/network/access/qnetworkcookie/tst_qnetworkcookie.cpp,6,527
26002,qtbase/src/network/access/qnetworkcookie.cpp,51.5,526
26596,qtbase/src/corelib/tools/qdatetime.cpp,3,2843
28380,qtbase/src/widgets/widgets/qabstractscrollarea.cpp,2,675
28380,qtbase/src/widgets/widgets/qscrollbar.cpp,5,375
27175,qtbase/src/plugins/platforms/windows/qwindowswindow.h,8,205
27175,qtbase/src/plugins/platforms/cocoa/qcocoawindow.h,0.5,72
27175,qtbase/src/plugins/platforms/windows/qwindowswindow.cpp,19.5,1254
22340,qtbase/tests/auto/corelib/global/qnumeric/tst_qnumeric.cpp,15.5,57
26986,qtbase/src/plugins/platforms/windows/qwindowsdialoghelpers.cpp,1,708
27708,qtbase/tools/configure/configureapp.cpp,9.5,3240
27708,qtbase/tools/configure/main.cpp,2,49
27708,qtbase/tools/configure/configureapp.h,0.5,115
27206,qtbase/tests/auto/gui/kernel/qwindow/tst_qwindow.cpp,20,732
27206,qtbase/src/gui/kernel/qguiapplication.cpp,1,1569
25571,qtbase/examples/network/fortuneclient/main.cpp,1,7
25571,qtbase/examples/network/fortuneserver/main.cpp,1,8
25571,qtbase/examples/tools/regexp/main.cpp,1,7
25571,qtbase/examples/network/multicastsender/main.cpp,1,7
25571,qtbase/examples/network/multicastreceiver/main.cpp,1,7
22649,qtbase/src/plugins/platforms/windows/qwindowsfontenginedirectwrite.cpp,6.5,547
993,qtbase/src/widgets/itemviews/qabstractitemview.cpp,9.5,2406
993,qtbase/tests/manual/widgets/itemviews/qheaderview/qheaderviewtest1.cpp,5,53
993,qtbase/src/widgets/itemviews/qheaderview.cpp,1,2179
27695,qtbase/src/tools/qdoc/node.cpp,1,1845
27695,qtbase/src/tools/qdoc/qdocindexfiles.cpp,9,9
27695,qtbase/src/tools/qdoc/qdocdatabase.cpp,16,16
27695,qtbase/src/tools/qdoc/node.h,2,770
6239,qtbase/src/printsupport/dialogs/qpagesetupdialog_unix.cpp,47.5,420
6239,qtbase/src/printsupport/dialogs/qpagesetupdialog_unix_p.h,2,35
6239,qtbase/src/printsupport/dialogs/qprintdialog_unix.cpp,184.5,435
22913,qtbase/src/corelib/tools/qpoint.h,5,240
22913,qtbase/tests/auto/corelib/tools/qpoint/tst_qpoint.cpp,7.5,249
22913,qtbase/src/corelib/tools/qpoint.cpp,8,47
22913,qtbase/tests/auto/corelib/tools/qpointf/tst_qpointf.cpp,7.5,284
28076,qtbase/src/widgets/kernel/qwidget.cpp,2,5033
28076,qtbase/src/gui/kernel/qguiapplication.cpp,2,1569
27547,qtbase/tests/auto/tools/moc/tst_moc.cpp,3,1491
27547,qtbase/tests/auto/tools/moc/parse-defines.h,6,6
27547,qtbase/src/tools/moc/preprocessor.cpp,7,797
26105,qtbase/src/widgets/itemviews/qabstractitemview.cpp,2.5,2406
26105,qtbase/tests/auto/widgets/itemviews/qabstractitemview/tst_qabstractitemview.cpp,12.5,964
21293,qtbase/src/corelib/io/qurl.cpp,1,1333
0,qtbase/src/widgets/kernel/qapplication_p.h,0.5,122
0,qtbase/tests/auto/widgets/kernel/qwidget_window/tst_qwidget_window.cpp,15,233
0,qtbase/src/corelib/kernel/qcoreapplication.cpp,35,910
0,qtbase/tests/auto/widgets/kernel/qapplication/tst_qapplication.cpp,5.5,1614
0,qtbase/src/testlib/qtestcase.cpp,1.5,906
0,qtbase/src/platformsupport/input/evdevtouch/qevdevtouch.cpp,5,356
0,qtbase/src/widgets/kernel/qapplication_qpa.cpp,3.5,320
0,qtbase/src/corelib/kernel/qcoreapplication_p.h,1,52
25760,qtbase/src/widgets/styles/qgtkstyle.cpp,2,2690
10570,qtbase/src/widgets/graphicsview/qgraphicsscene.h,0.5,211
10570,qtbase/tests/auto/widgets/graphicsview/qgraphicsscene/tst_qgraphicsscene.cpp,57.5,3647
10570,qtbase/src/widgets/graphicsview/qgraphicsscene.cpp,25,3653
10570,qtbase/src/widgets/graphicsview/qgraphicsscene_p.h,1.5,231
26591,qtbase/src/tools/qdoc/ditaxmlgenerator.h,0.5,497
26591,qtbase/src/tools/qdoc/ditaxmlgenerator.cpp,15.5,5261
26591,qtbase/src/tools/qdoc/tree.cpp,8,1822
26591,qtbase/src/tools/qdoc/node.h,2.5,770
26591,qtbase/src/tools/qdoc/generator.cpp,21.5,1630
26591,qtbase/src/tools/qdoc/node.cpp,14.5,1845
26591,qtbase/src/tools/qdoc/generator.h,1.5,169
26591,qtbase/src/tools/qdoc/helpprojectwriter.h,4,55
26591,qtbase/src/tools/qdoc/helpprojectwriter.cpp,28,565
26591,qtbase/src/tools/qdoc/htmlgenerator.cpp,4,3872
26591,qtbase/src/tools/qdoc/tree.h,2,116
18785,qtbase/src/widgets/itemviews/qstandarditemmodel.cpp,2,2
27705,qtbase/tests/auto/corelib/kernel/qsystemsemaphore/systemsemaphorehelper/main.cpp,57,57
27705,qtbase/tests/auto/corelib/kernel/qsystemsemaphore/test/tst_qsystemsemaphore.cpp,137.5,137.5
27123,qtbase/src/plugins/platforms/xcb/qxcbwindow.cpp,1,1207
20778,qtbase/src/gui/kernel/qwindowsysteminterface.h,2,97
20778,qtbase/src/gui/kernel/qwindowsysteminterface.cpp,13.5,433
20778,qtbase/tests/auto/widgets/kernel/qwidget/tst_qwidget.cpp,3,6703
20778,qtbase/src/plugins/platforms/windows/qwindowswindow.cpp,3,1254
28500,qtbase/src/corelib/statemachine/qstatemachine.cpp,4,1735
28500,qtbase/src/widgets/kernel/qformlayout.cpp,2,1168
